ID;repsonse_variable;var_numeric;var_categorical1;var_categorical2
1;11,26;0;1;1
2;13,67;2;1;1
3;15,82;4;1;1
4;17,16;6;1;1
5;20,38;8;1;1
6;24,93;10;1;1
7;28,42;12;1;1
8;33,51;14;1;1
9;39,95;16;1;1
10;45,84;18;1;1
11;53,35;20;1;1
12;54,96;21;1;1
13;10,72;0;2;1
14;13,14;2;2;1
15;15,55;4;2;1
16;19,30;6;2;1
17;22,52;8;2;1
18;27,61;10;2;1
19;32,71;12;2;1
20;37,00;14;2;1
21;43,43;16;2;1
22;50,13;18;2;1
23;56,03;20;2;1
24;57,64;21;2;1
25;11,53;0;3;1
26;10,46;2;3;1
27;14,75;4;3;1
28;17,96;6;3;1
29;22,52;8;3;1
30;26,54;10;3;1
31;30,83;12;3;1
32;37,00;14;3;1
33;43,70;16;3;1
34;50,13;18;3;1
35;53,08;20;3;1
36;54,16;21;3;1
37;11,26;0;4;1
38;13,14;2;4;1
39;15,01;4;4;1
40;17,96;6;4;1
41;19,84;8;4;1
42;23,32;10;4;1
43;27,35;12;4;1
44;28,95;14;4;1
45;36,46;16;4;1
46;41,29;18;4;1
47;42,90;20;4;1
48;42,09;21;4;1
49;10,99;0;5;1
50;11,26;2;5;1
51;12,87;4;5;1
52;16,09;6;5;1
53;21,18;8;5;1
54;28,42;10;5;1
55;37,80;12;5;1
56;43,97;14;5;1
57;52,82;16;5;1
58;53,35;18;5;1
59;58,98;20;5;1
60;59,79;21;5;1
61;10,99;0;6;1
62;13,14;2;6;1
63;15,82;4;6;1
64;19,84;6;6;1
65;26,01;8;6;1
66;33,24;10;6;1
67;37,80;12;6;1
68;39,68;14;6;1
69;41,55;16;6;1
70;42,90;18;6;1
71;42,90;20;6;1
72;42,09;21;6;1
73;10,99;0;7;1
74;13,14;2;7;1
75;15,28;4;7;1
76;19,03;6;7;1
77;23,86;8;7;1
78;30,03;10;7;1
79;39,14;12;7;1
80;46,65;14;7;1
81;58,45;16;7;1
82;67,02;18;7;1
83;77,21;20;7;1
84;81,77;21;7;1
85;11,26;0;8;1
86;13,40;2;8;1
87;16,35;4;8;1
88;19,03;6;8;1
89;22,52;8;8;1
90;24,93;10;8;1
91;29,49;12;8;1
92;31,10;14;8;1
93;33,78;16;8;1
94;35,92;18;8;1
95;33,51;20;8;1
96;11,26;0;9;1
97;13,67;2;9;1
98;15,82;4;9;1
99;18,23;6;9;1
100;22,79;8;9;1
101;25,74;10;9;1
102;24,13;12;9;1
103;24,66;14;9;1
104;24,93;16;9;1
105;26,81;18;9;1
106;26,81;20;9;1
107;26,27;21;9;1
108;10,99;0;10;1
109;11,80;2;10;1
110;13,94;4;10;1
111;16,89;6;10;1
112;19,84;8;10;1
113;21,72;10;10;1
114;23,86;12;10;1
115;25,74;14;10;1
116;27,08;16;10;1
117;30,03;18;10;1
118;32,17;20;10;1
119;33,24;21;10;1
120;11,53;0;11;1
121;13,67;2;11;1
122;16,89;4;11;1
123;22,52;6;11;1
124;30,03;8;11;1
125;37,27;10;11;1
126;45,04;12;11;1
127;47,45;14;11;1
128;48,79;16;11;1
129;49,33;18;11;1
130;48,53;20;11;1
131;46,92;21;11;1
132;10,99;0;12;1
133;13,14;2;12;1
134;15,01;4;12;1
135;16,62;6;12;1
136;19,30;8;12;1
137;23,59;10;12;1
138;31,90;12;12;1
139;36,19;14;12;1
140;43,43;16;12;1
141;49,60;18;12;1
142;52,28;20;12;1
143;54,96;21;12;1
144;10,99;0;13;1
145;12,87;2;13;1
146;14,21;4;13;1
147;16,09;6;13;1
148;17,43;8;13;1
149;17,96;10;13;1
150;19,03;12;13;1
151;18,77;14;13;1
152;19,03;16;13;1
153;21,72;18;13;1
154;24,40;20;13;1
155;25,74;21;13;1
156;10,99;0;14;1
157;13,14;2;14;1
158;16,62;4;14;1
159;21,18;6;14;1
160;27,08;8;14;1
161;34,32;10;14;1
162;43,97;12;14;1
163;51,47;14;14;1
164;60,86;16;14;1
165;66,49;18;14;1
166;69,44;20;14;1
167;71,31;21;14;1
168;10,99;0;15;1
169;13,14;2;15;1
170;15,01;4;15;1
171;17,16;6;15;1
172;18,23;8;15;1
173;18,23;10;15;1
174;17,96;12;15;1
175;18,23;14;15;1
176;10,99;0;16;1
177;12,06;2;16;1
178;13,14;4;16;1
179;13,67;6;16;1
180;15,28;8;16;1
181;13,67;10;16;1
182;14,48;12;16;1
183;11,26;0;17;1
184;13,67;2;17;1
185;16,35;4;17;1
186;19,30;6;17;1
187;22,25;8;17;1
188;23,86;10;17;1
189;26,27;12;17;1
190;27,61;14;17;1
191;30,29;16;17;1
192;32,98;18;17;1
193;35,66;20;17;1
194;38,07;21;17;1
195;10,46;0;18;1
196;9,38;2;18;1
197;11,53;0;19;1
198;12,87;2;19;1
199;14,75;4;19;1
200;16,62;6;19;1
201;17,43;8;19;1
202;19,03;10;19;1
203;21,98;12;19;1
204;23,59;14;19;1
205;28,42;16;19;1
206;32,17;18;19;1
207;38,61;20;19;1
208;42,09;21;19;1
209;10,99;0;20;1
210;12,60;2;20;1
211;14,48;4;20;1
212;15,55;6;20;1
213;17,43;8;20;1
214;19,57;10;20;1
215;20,64;12;20;1
216;23,86;14;20;1
217;26,27;16;20;1
218;28,69;18;20;1
219;30,83;20;20;1
220;31,37;21;20;1
221;10,72;0;21;2
222;13,40;2;21;2
223;16,62;4;21;2
224;23,06;6;21;2
225;33,51;8;21;2
226;43,70;10;21;2
227;58,18;12;21;2
228;64,34;14;21;2
229;73,73;16;21;2
230;82,31;18;21;2
231;85,25;20;21;2
232;88,74;21;21;2
233;10,99;0;22;2
234;14,75;2;22;2
235;17,16;4;22;2
236;20,64;6;22;2
237;24,13;8;22;2
238;25,47;10;22;2
239;28,95;12;22;2
240;29,76;14;22;2
241;35,12;16;22;2
242;39,68;18;22;2
243;43,97;20;22;2
244;44,77;21;22;2
245;11,53;0;23;2
246;13,94;2;23;2
247;16,35;4;23;2
248;19,57;6;23;2
249;24,13;8;23;2
250;27,61;10;23;2
251;34,05;12;23;2
252;36,19;14;23;2
253;38,87;16;23;2
254;43,70;18;23;2
255;45,58;20;23;2
256;46,92;21;23;2
257;11,26;0;24;2
258;13,94;2;24;2
259;15,55;4;24;2
260;19,84;6;24;2
261;17,69;8;24;2
262;18,23;10;24;2
263;18,77;12;24;2
264;19,03;14;24;2
265;19,30;16;24;2
266;19,30;18;24;2
267;20,38;20;24;2
268;19,84;21;24;2
269;10,72;0;25;2
270;13,14;2;25;2
271;16,62;4;25;2
272;20,91;6;25;2
273;27,35;8;25;2
274;33,24;10;25;2
275;39,14;12;25;2
276;43,97;14;25;2
277;52,82;16;25;2
278;61,93;18;25;2
279;69,44;20;25;2
280;71,05;21;25;2
281;11,26;0;26;2
282;12,87;2;26;2
283;15,28;4;26;2
284;19,84;6;26;2
285;24,93;8;26;2
286;30,56;10;26;2
287;36,46;12;26;2
288;39,41;14;26;2
289;45,31;16;26;2
290;54,96;18;26;2
291;63,27;20;26;2
292;67,29;21;26;2
293;10,46;0;27;2
294;12,33;2;27;2
295;15,55;4;27;2
296;19,57;6;27;2
297;23,32;8;27;2
298;26,81;10;27;2
299;30,83;12;27;2
300;32,98;14;27;2
301;38,61;16;27;2
302;43,70;18;27;2
303;49,60;20;27;2
304;51,47;21;27;2
305;10,46;0;28;2
306;12,33;2;28;2
307;15,55;4;28;2
308;19,57;6;28;2
309;24,66;8;28;2
310;30,56;10;28;2
311;38,87;12;28;2
312;41,82;14;28;2
313;49,33;16;28;2
314;55,50;18;28;2
315;56,84;20;28;2
316;62,47;21;28;2
317;10,46;0;29;2
318;12,87;2;29;2
319;15,82;4;29;2
320;19,84;6;29;2
321;23,32;8;29;2
322;28,42;10;29;2
323;35,92;12;29;2
324;40,21;14;29;2
325;50,13;16;29;2
326;61,66;18;29;2
327;74,80;20;29;2
328;82,84;21;29;2
329;11,26;0;30;2
330;12,87;2;30;2
331;15,82;4;30;2
332;19,30;6;30;2
333;22,79;8;30;2
334;26,27;10;30;2
335;30,83;12;30;2
336;32,71;14;30;2
337;38,34;16;30;2
338;40,48;18;30;2
339;42,09;20;30;2
340;40,21;21;30;2
341;11,26;0;31;3
342;14,21;2;31;3
343;16,62;4;31;3
344;19,57;6;31;3
345;22,79;8;31;3
346;27,35;10;31;3
347;32,98;12;31;3
348;37,00;14;31;3
349;45,58;16;31;3
350;54,69;18;31;3
351;63,00;20;31;3
352;68,63;21;31;3
353;10,99;0;32;3
354;13,14;2;32;3
355;17,43;4;32;3
356;21,98;6;32;3
357;28,69;8;32;3
358;34,58;10;32;3
359;42,63;12;32;3
360;47,99;14;32;3
361;59,25;16;32;3
362;70,51;18;32;3
363;78,02;20;32;3
364;81,77;21;32;3
365;10,46;0;33;3
366;13,40;2;33;3
367;16,89;4;33;3
368;20,64;6;33;3
369;25,74;8;33;3
370;29,76;10;33;3
371;36,73;12;33;3
372;38,61;14;33;3
373;40,48;16;33;3
374;39,14;18;33;3
375;41,82;20;33;3
376;39,41;21;33;3
377;10,99;0;34;3
378;13,14;2;34;3
379;16,89;4;34;3
380;22,79;6;34;3
381;28,69;8;34;3
382;35,92;10;34;3
383;43,97;12;34;3
384;49,87;14;34;3
385;63,00;16;34;3
386;78,82;18;34;3
387;87,67;20;34;3
388;91,42;21;34;3
389;10,99;0;35;3
390;14,21;2;35;3
391;17,16;4;35;3
392;23,32;6;35;3
393;32,98;8;35;3
394;42,36;10;35;3
395;53,89;12;35;3
396;63,81;14;35;3
397;76,94;16;35;3
398;89,01;18;35;3
399;96,78;20;35;3
400;100,00;21;35;3
401;10,46;0;36;3
402;12,87;2;36;3
403;16,35;4;36;3
404;20,38;6;36;3
405;26,27;8;36;3
406;31,10;10;36;3
407;38,87;12;36;3
408;44,50;14;36;3
409;53,08;16;36;3
410;60,86;18;36;3
411;60,32;20;36;3
412;58,98;21;36;3
413;10,99;0;37;3
414;12,87;2;37;3
415;15,01;4;37;3
416;18,23;6;37;3
417;21,45;8;37;3
418;22,25;10;37;3
419;27,61;12;37;3
420;30,03;14;37;3
421;36,19;16;37;3
422;42,09;18;37;3
423;45,31;20;37;3
424;47,72;21;37;3
425;10,99;0;38;3
426;13,14;2;38;3
427;16,35;4;38;3
428;19,84;6;38;3
429;26,27;8;38;3
430;29,22;10;38;3
431;34,32;12;38;3
432;41,29;14;38;3
433;51,47;16;38;3
434;62,20;18;38;3
435;75,07;20;38;3
436;77,75;21;38;3
437;11,26;0;39;3
438;13,40;2;39;3
439;16,35;4;39;3
440;20,91;6;39;3
441;23,86;8;39;3
442;29,22;10;39;3
443;34,85;12;39;3
444;39,14;14;39;3
445;45,58;16;39;3
446;57,37;18;39;3
447;67,02;20;39;3
